Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
prBAH10E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	10	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH10R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	10	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH11E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	11	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH11R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	11	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH12E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	12	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH12R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	12	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBPD01E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	1	Ppinaster_Symptomatic	prBPDE	
prBPD01R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	1	Ppinaster_Symptomatic	prBPDR	
prBPD02E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	2	Ppinaster_Symptomatic	prBPDE	
prBPD02R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	2	Ppinaster_Symptomatic	prBPDR	
prBPD03E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	3	Ppinaster_Symptomatic	prBPDE	
prBPD03R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	3	Ppinaster_Symptomatic	prBPDR	
prBPD04E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	4	Ppinaster_Symptomatic	prBPDE	
prBPD04R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	4	Ppinaster_Symptomatic	prBPDR	
prBPD05E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	5	Ppinaster_Symptomatic	prBPDE	
prBPD05R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	5	Ppinaster_Symptomatic	prBPDR	
prBPD06E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	6	Ppinaster_Symptomatic	prBPDE	
prBPD06R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	6	Ppinaster_Symptomatic	prBPDR	
prBPD07E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	7	Ppinaster_Symptomatic	prBPDE	
prBPD07R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	7	Ppinaster_Symptomatic	prBPDR	
prBPD08E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	8	Ppinaster_Symptomatic	prBPDE	
prBPD08R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	8	Ppinaster_Symptomatic	prBPDR	
prBPD09E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	9	Ppinaster_Symptomatic	prBPDE	
