Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
vNAH09E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	9	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH09R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	9	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH10E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	10	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH10R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	10	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH11E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	11	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH11R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	11	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH12E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	12	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH12R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	12	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNPD01E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	1	Ppinaster_Symptomatic	vNPDE	
vNPD01R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	1	Ppinaster_Symptomatic	vNPDR	
vNPD02E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	2	Ppinaster_Symptomatic	vNPDE	
vNPD02R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	2	Ppinaster_Symptomatic	vNPDR	
vNPD03E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	3	Ppinaster_Symptomatic	vNPDE	
vNPD03R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	3	Ppinaster_Symptomatic	vNPDR	
vNPD04E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	4	Ppinaster_Symptomatic	vNPDE	
vNPD04R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	4	Ppinaster_Symptomatic	vNPDR	
vNPD05E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	5	Ppinaster_Symptomatic	vNPDE	
vNPD05R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	5	Ppinaster_Symptomatic	vNPDR	
vNPD06E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	6	Ppinaster_Symptomatic	vNPDE	
vNPD06R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	6	Ppinaster_Symptomatic	vNPDR	
vNPD07E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	7	Ppinaster_Symptomatic	vNPDE	
vNPD07R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	7	Ppinaster_Symptomatic	vNPDR	
vNPD08E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	8	Ppinaster_Symptomatic	vNPDE	
vNPD08R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	8	Ppinaster_Symptomatic	vNPDR	
vNPD09E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	9	Ppinaster_Symptomatic	vNPDE	
vNPD09R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	9	Ppinaster_Symptomatic	vNPDR	
vNPD10E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	10	Ppinaster_Symptomatic	vNPDE	
vNPD10R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	10	Ppinaster_Symptomatic	vNPDR	
vNPD11E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	11	Ppinaster_Symptomatic	vNPDE	
vNPD11R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	11	Ppinaster_Symptomatic	vNPDR	
vNPD12E	Summer	SierraNevada	Ppinaster	Symptomatic	Endosphere	12	Ppinaster_Symptomatic	vNPDE	
vNPD12R	Summer	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	12	Ppinaster_Symptomatic	vNPDR	
vNPH01E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	1	Ppinaster_Asymptomatic	vNPHE	
vNPH01R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	1	Ppinaster_Asymptomatic	vNPHR	
vNPH02E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	2	Ppinaster_Asymptomatic	vNPHE	
vNPH02R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	2	Ppinaster_Asymptomatic	vNPHR	
vNPH03E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	3	Ppinaster_Asymptomatic	vNPHE	
vNPH03R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	3	Ppinaster_Asymptomatic	vNPHR	
vNPH04E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	4	Ppinaster_Asymptomatic	vNPHE	
vNPH04R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	4	Ppinaster_Asymptomatic	vNPHR	
vNPH05E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	5	Ppinaster_Asymptomatic	vNPHE	
vNPH05R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	5	Ppinaster_Asymptomatic	vNPHR	
vNPH06E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	6	Ppinaster_Asymptomatic	vNPHE	
vNPH06R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	6	Ppinaster_Asymptomatic	vNPHR	
vNPH07E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	7	Ppinaster_Asymptomatic	vNPHE	
vNPH07R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	7	Ppinaster_Asymptomatic	vNPHR	
vNPH08E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	8	Ppinaster_Asymptomatic	vNPHE	
vNPH08R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	8	Ppinaster_Asymptomatic	vNPHR	
vNPH09E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	9	Ppinaster_Asymptomatic	vNPHE	
vNPH09R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	9	Ppinaster_Asymptomatic	vNPHR	
vNPH10E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	10	Ppinaster_Asymptomatic	vNPHE	
vNPH10R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	10	Ppinaster_Asymptomatic	vNPHR	
vNPH11E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	11	Ppinaster_Asymptomatic	vNPHE	
vNPH11R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	11	Ppinaster_Asymptomatic	vNPHR	
vNPH12E	Summer	SierraNevada	Ppinaster	Asymptomatic	Endosphere	12	Ppinaster_Asymptomatic	vNPHE	
vNPH12R	Summer	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	12	Ppinaster_Asymptomatic	vNPHR	
vNSD01E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	1	Psylvestris_Symptomatic	vNSDE	
vNSD01R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	1	Psylvestris_Symptomatic	vNSDR	
vNSD02E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	2	Psylvestris_Symptomatic	vNSDE	
vNSD02R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	2	Psylvestris_Symptomatic	vNSDR	
vNSD03E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	3	Psylvestris_Symptomatic	vNSDE	
vNSD03R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	3	Psylvestris_Symptomatic	vNSDR	
vNSD04E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	4	Psylvestris_Symptomatic	vNSDE	
vNSD04R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	4	Psylvestris_Symptomatic	vNSDR	
vNSD05E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	5	Psylvestris_Symptomatic	vNSDE	
vNSD05R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	5	Psylvestris_Symptomatic	vNSDR	
vNSD06E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	6	Psylvestris_Symptomatic	vNSDE	
vNSD06R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	6	Psylvestris_Symptomatic	vNSDR	
vNSD07E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	7	Psylvestris_Symptomatic	vNSDE	
vNSD07R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	7	Psylvestris_Symptomatic	vNSDR	
vNSD08E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	8	Psylvestris_Symptomatic	vNSDE	
vNSD08R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	8	Psylvestris_Symptomatic	vNSDR	
vNSD09E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	9	Psylvestris_Symptomatic	vNSDE	
vNSD09R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	9	Psylvestris_Symptomatic	vNSDR	
vNSD10E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	10	Psylvestris_Symptomatic	vNSDE	
vNSD10R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	10	Psylvestris_Symptomatic	vNSDR	
vNSD11E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	11	Psylvestris_Symptomatic	vNSDE	
vNSD11R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	11	Psylvestris_Symptomatic	vNSDR	
vNSD12E	Summer	SierraNevada	Psylvestris	Symptomatic	Endosphere	12	Psylvestris_Symptomatic	vNSDE	
vNSD12R	Summer	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	12	Psylvestris_Symptomatic	vNSDR	
vNSH01E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	1	Psylvestris_Asymptomatic	vNSHE	
vNSH01R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	1	Psylvestris_Asymptomatic	vNSHR	
vNSH02E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	2	Psylvestris_Asymptomatic	vNSHE	
vNSH02R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	2	Psylvestris_Asymptomatic	vNSHR	
vNSH03E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	3	Psylvestris_Asymptomatic	vNSHE	
vNSH03R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	3	Psylvestris_Asymptomatic	vNSHR	
vNSH04E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	4	Psylvestris_Asymptomatic	vNSHE	
vNSH04R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	4	Psylvestris_Asymptomatic	vNSHR	
vNSH05E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	5	Psylvestris_Asymptomatic	vNSHE	
vNSH05R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	5	Psylvestris_Asymptomatic	vNSHR	
vNSH06E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	6	Psylvestris_Asymptomatic	vNSHE	
vNSH06R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	6	Psylvestris_Asymptomatic	vNSHR	
vNSH07E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	7	Psylvestris_Asymptomatic	vNSHE	
vNSH07R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	7	Psylvestris_Asymptomatic	vNSHR	
vNSH08E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	8	Psylvestris_Asymptomatic	vNSHE	
vNSH08R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	8	Psylvestris_Asymptomatic	vNSHR	
vNSH09E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	9	Psylvestris_Asymptomatic	vNSHE	
vNSH09R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	9	Psylvestris_Asymptomatic	vNSHR	
vNSH10E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	10	Psylvestris_Asymptomatic	vNSHE	
vNSH10R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	10	Psylvestris_Asymptomatic	vNSHR	
vNSH11E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	11	Psylvestris_Asymptomatic	vNSHE	
vNSH11R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	11	Psylvestris_Asymptomatic	vNSHR	
vNSH12E	Summer	SierraNevada	Psylvestris	Asymptomatic	Endosphere	12	Psylvestris_Asymptomatic	vNSHE	
vNSH12R	Summer	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	12	Psylvestris_Asymptomatic	vNSHR	
